UserID,Phase,Time,AF3_Theta,AF3_Alpha,AF3_BetaL,AF3_BetaH,AF3_Gamma,T7_Theta,T7_Alpha,T7_BetaL,T7_BetaH,T7_Gamma,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.514,4.049,6.891,3.734,2.143,3.878,3.109,4.454,3.1,2.721,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.184,3.739,5.57,3.868,2.017,3.327,3.66,4.823,3.116,2.478,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.03,3.471,4.345,3.931,1.849,2.814,4.142,5.099,3.022,2.246,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.059,3.598,3.408,3.924,1.706,2.552,4.518,5.164,2.871,2.116,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.361,4.377,2.791,3.916,1.643,2.659,4.794,4.94,2.771,2.137,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.818,5.765,2.463,4.025,1.67,3.11,4.966,4.475,2.822,2.297,Ellipsis
M28,baseline occhi chiusi,12:47:57,3.362,7.44,2.456,4.353,1.758,3.75,5.011,3.93,3.048,2.52,Ellipsis
M28,baseline occhi chiusi,12:47:57,4.012,8.9,2.823,4.927,1.869,4.278,4.919,3.532,3.383,2.721,Ellipsis
M28,baseline occhi chiusi,12:47:57,4.743,9.635,3.573,5.638,1.994,4.882,4.647,3.457,3.712,2.832,Ellipsis
M28,baseline occhi chiusi,12:47:57,5.606,9.41,4.655,6.287,2.152,5.098,4.178,3.757,3.937,2.84,Ellipsis
M28,baseline occhi chiusi,12:47:57,6.441,8.35,5.847,6.639,2.361,5.762,3.555,4.251,3.998,2.772,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.062,6.825,6.805,6.542,2.605,6.078,2.839,4.606,3.873,2.678,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.34,5.308,7.206,6.008,2.823,6.582,2.141,4.588,3.598,2.586,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.223,4.244,6.958,5.201,2.933,6.575,1.594,4.223,3.268,2.498,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.891,3.87,6.169,4.346,2.871,6.114,1.289,3.779,3.029,2.408,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.723,4.131,5.116,3.617,2.627,5.483,1.292,3.542,2.977,2.311,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.844,4.748,4.089,3.091,2.26,4.592,1.598,3.635,3.112,2.224,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.416,5.336,3.311,2.77,1.882,3.888,2.114,3.971,3.348,2.182,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.992,5.522,2.825,2.644,1.612,3.472,2.674,4.362,3.598,2.219,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.325,5.143,2.622,2.738,1.504,3.457,3.126,4.614,3.843,2.34,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.308,4.413,2.623,3.072,1.538,3.711,3.35,4.582,4.114,2.513,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.388,3.815,2.722,3.605,1.649,4.321,3.418,4.239,4.424,2.687,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.585,3.855,2.824,4.292,1.775,5.566,3.44,3.64,4.737,2.812,Ellipsis
M28,baseline occhi chiusi,12:47:59,9.162,4.607,2.854,5.058,1.866,7.585,3.546,2.911,4.977,2.851,Ellipsis
M28,baseline occhi chiusi,12:47:59,9.869,5.749,2.788,5.776,1.898,10.603,3.803,2.209,5.044,2.786,Ellipsis
M28,baseline occhi chiusi,12:47:59,10.606,6.721,2.648,6.299,1.882,13.852,4.121,1.664,4.861,2.648,Ellipsis
M28,baseline occhi chiusi,12:47:59,11.016,7.009,2.451,6.509,1.853,16.531,4.315,1.372,4.446,2.517,Ellipsis
M28,baseline occhi chiusi,12:48:00,10.912,6.388,2.234,6.358,1.846,17.429,4.246,1.41,3.897,2.476,Ellipsis
M28,baseline occhi chiusi,12:48:00,10.38,5.139,2.082,5.856,1.872,16.585,3.874,1.835,3.338,2.551,Ellipsis
M28,baseline occhi chiusi,12:48:00,9.667,3.794,2.082,5.105,1.912,15.008,3.334,2.605,2.872,2.694,Ellipsis
M28,baseline occhi chiusi,12:48:00,9.015,2.85,2.272,4.297,1.939,13.942,2.826,3.533,2.559,2.805,Ellipsis
M28,baseline occhi chiusi,12:48:00,8.56,2.483,2.649,3.643,1.934,14.027,2.526,4.359,2.414,2.787,Ellipsis
M28,baseline occhi chiusi,12:48:00,8.294,2.595,3.137,3.305,1.895,14.958,2.532,4.843,2.42,2.602,Ellipsis
M28,baseline occhi chiusi,12:48:00,8.13,2.926,3.598,3.336,1.855,16.273,2.819,4.831,2.546,2.309,Ellipsis
M28,baseline occhi chiusi,12:48:00,7.89,3.257,3.858,3.667,1.877,16.664,3.283,4.319,2.778,2.052,Ellipsis
M28,baseline occhi chiusi,12:48:01,7.534,3.503,3.84,4.173,2.007,15.786,3.757,3.467,3.107,1.981,Ellipsis
M28,baseline occhi chiusi,12:48:01,7.052,3.669,3.632,4.713,2.236,13.559,4.081,2.542,3.487,2.156,Ellipsis
M28,baseline occhi chiusi,12:48:01,6.568,3.791,3.465,5.163,2.496,10.679,4.132,1.774,3.827,2.517,Ellipsis
M28,baseline occhi chiusi,12:48:01,6.086,3.915,3.616,5.423,2.681,7.881,3.915,1.304,4.017,2.908,Ellipsis
M28,baseline occhi chiusi,12:48:01,5.57,4.042,4.215,5.416,2.712,5.621,3.543,1.164,3.972,3.162,Ellipsis
M28,baseline occhi chiusi,12:48:01,5.061,4.143,5.136,5.108,2.581,4.249,3.158,1.281,3.658,3.194,Ellipsis
M28,baseline occhi chiusi,12:48:01,4.519,4.131,6.049,4.54,2.355,3.332,2.872,1.541,3.136,3.029,Ellipsis
M28,baseline occhi chiusi,12:48:01,4.362,3.924,6.618,3.845,2.137,2.673,2.7,1.83,2.548,2.779,Ellipsis
M28,baseline occhi chiusi,12:48:02,4.887,3.525,6.683,3.242,2.026,2.172,2.594,2.059,2.056,2.587,Ellipsis
M28,baseline occhi chiusi,12:48:02,6.509,3.06,6.363,3.031,2.071,2.0,2.498,2.222,1.793,2.571,Ellipsis
M28,baseline occhi chiusi,12:48:02,8.817,2.752,5.955,3.446,2.244,2.011,2.388,2.37,1.811,2.752,Ellipsis
M28,baseline occhi chiusi,12:48:02,11.215,2.913,5.736,4.504,2.447,2.14,2.293,2.564,2.07,3.042,Ellipsis
M28,baseline occhi chiusi,12:48:02,12.78,3.784,5.704,5.963,2.559,2.182,2.255,2.812,2.453,3.285,Ellipsis
M28,baseline occhi chiusi,12:48:02,13.103,5.377,5.668,7.384,2.504,2.283,2.278,3.062,2.823,3.348,Ellipsis
M28,baseline occhi chiusi,12:48:02,11.952,7.359,5.407,8.321,2.287,2.173,2.333,3.231,3.088,3.184,Ellipsis
M28,baseline occhi chiusi,12:48:02,9.837,9.125,4.827,8.499,1.967,2.057,2.377,3.227,3.232,2.836,Ellipsis
M28,baseline occhi chiusi,12:48:03,7.399,10.083,4.023,7.921,1.642,1.705,2.376,3.013,3.296,2.438,Ellipsis
M28,baseline occhi chiusi,12:48:03,5.223,9.962,3.182,6.831,1.424,1.401,2.361,2.61,3.346,2.175,Ellipsis
M28,baseline occhi chiusi,12:48:03,3.78,9.026,2.557,5.611,1.393,1.152,2.464,2.124,3.41,2.202,Ellipsis
M28,baseline occhi chiusi,12:48:03,3.314,8.005,2.303,4.63,1.573,1.086,2.834,1.701,3.465,2.568,Ellipsis
M28,baseline occhi chiusi,12:48:03,3.801,7.744,2.378,4.063,1.913,1.246,3.562,1.44,3.445,3.177,Ellipsis
M28,baseline occhi chiusi,12:48:03,4.828,8.789,2.624,3.857,2.317,1.586,4.534,1.346,3.304,3.844,Ellipsis
M28,baseline occhi chiusi,12:48:03,5.873,10.989,2.861,3.804,2.688,2.016,5.484,1.385,3.008,4.369,Ellipsis
M28,baseline occhi chiusi,12:48:03,6.699,13.559,2.958,3.698,2.968,2.408,6.106,1.516,2.601,4.654,Ellipsis
M28,baseline occhi chiusi,12:48:04,6.995,15.48,2.867,3.45,3.157,2.634,6.194,1.687,2.205,4.719,Ellipsis
M28,baseline occhi chiusi,12:48:04,6.595,15.99,2.589,3.112,3.279,2.635,5.723,1.832,1.924,4.659,Ellipsis
M28,baseline occhi chiusi,12:48:04,5.652,14.921,2.208,2.878,3.364,2.43,4.864,1.92,1.811,4.585,Ellipsis
M28,baseline occhi chiusi,12:48:04,4.371,12.757,1.877,2.966,3.42,2.156,3.895,1.93,1.869,4.555,Ellipsis
M28,baseline occhi chiusi,12:48:04,3.304,10.299,1.731,3.454,3.426,1.944,3.044,1.849,2.04,4.548,Ellipsis
M28,baseline occhi chiusi,12:48:04,2.492,8.263,1.796,4.213,3.344,1.847,2.42,1.68,2.251,4.474,Ellipsis
M28,baseline occhi chiusi,12:48:04,2.11,7.035,1.987,4.949,3.148,1.941,2.034,1.469,2.443,4.251,Ellipsis
M28,baseline occhi chiusi,12:48:04,2.04,6.593,2.168,5.339,2.857,2.088,1.832,1.301,2.6,3.876,Ellipsis
M28,baseline occhi chiusi,12:48:05,2.223,6.581,2.231,5.206,2.543,2.304,1.752,1.228,2.733,3.455,Ellipsis
M28,baseline occhi chiusi,12:48:05,2.713,6.594,2.123,4.595,2.289,2.393,1.755,1.249,2.86,3.136,Ellipsis
M28,baseline occhi chiusi,12:48:05,3.54,6.403,1.87,3.741,2.15,2.47,1.788,1.326,2.977,3.012,Ellipsis
M28,baseline occhi chiusi,12:48:05,4.506,5.973,1.575,2.925,2.123,2.472,1.769,1.393,3.048,3.065,Ellipsis
M28,baseline occhi chiusi,12:48:05,5.345,5.383,1.346,2.345,2.153,2.563,1.654,1.384,3.021,3.183,Ellipsis
M28,baseline occhi chiusi,12:48:05,5.921,4.775,1.222,2.054,2.184,2.695,1.454,1.285,2.87,3.239,Ellipsis
M28,baseline occhi chiusi,12:48:05,6.115,4.329,1.158,1.978,2.186,2.923,1.229,1.143,2.598,3.16,Ellipsis
M28,baseline occhi chiusi,12:48:05,6.051,4.187,1.082,2.002,2.165,3.212,1.039,1.035,2.265,2.965,Ellipsis
M28,baseline occhi chiusi,12:48:06,5.688,4.351,0.945,2.079,2.156,3.651,0.966,1.021,1.974,2.757,Ellipsis
M28,baseline occhi chiusi,12:48:06,5.298,4.669,0.794,2.246,2.187,4.204,1.067,1.122,1.807,2.647,Ellipsis
M28,baseline occhi chiusi,12:48:06,4.722,4.919,0.678,2.557,2.253,4.736,1.376,1.321,1.775,2.688,Ellipsis
M28,baseline occhi chiusi,12:48:06,4.135,4.902,0.624,3.026,2.309,5.08,1.878,1.569,1.826,2.837,Ellipsis
M28,baseline occhi chiusi,12:48:06,3.493,4.538,0.635,3.601,2.291,5.106,2.516,1.819,1.899,2.98,Ellipsis
M28,baseline occhi chiusi,12:48:06,2.923,3.911,0.684,4.175,2.154,4.782,3.178,2.053,1.963,2.999,Ellipsis
M28,baseline occhi chiusi,12:48:06,2.456,3.262,0.783,4.622,1.908,4.175,3.701,2.279,2.008,2.837,Ellipsis
M28,baseline occhi chiusi,12:48:06,2.18,2.838,0.988,4.864,1.616,3.475,3.95,2.487,2.048,2.528,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.087,2.769,1.339,4.951,1.367,3.045,3.863,2.637,2.145,2.174,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.113,3.081,1.825,5.057,1.238,3.171,3.493,2.68,2.386,1.897,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.212,3.732,2.388,5.372,1.262,3.866,2.987,2.585,2.83,1.777,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.326,4.565,2.941,5.971,1.422,4.864,2.489,2.367,3.454,1.817,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.413,5.389,3.4,6.763,1.682,6.009,2.125,2.108,4.143,1.958,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.57,6.097,3.739,7.548,2.009,7.846,1.961,1.901,4.718,2.12,Ellipsis
M28,baseline occhi chiusi,12:48:07,2.807,6.64,3.88,8.136,2.372,11.504,1.958,1.808,4.997,2.24,Ellipsis
M28,baseline occhi chiusi,12:48:07,3.136,7.181,3.855,8.428,2.727,16.636,2.028,1.848,4.875,2.286,Ellipsis
M28,baseline occhi chiusi,12:48:08,3.509,8.036,3.732,8.431,3.017,22.367,2.084,1.972,4.37,2.254,Ellipsis
M28,baseline occhi chiusi,12:48:08,4.052,9.488,3.522,8.213,3.188,27.232,2.062,2.095,3.642,2.166,Ellipsis
M28,baseline occhi chiusi,12:48:08,4.974,11.508,3.247,7.84,3.221,29.621,1.96,2.149,2.923,2.063,Ellipsis
M28,baseline occhi chiusi,12:48:08,6.355,13.645,2.931,7.357,3.148,28.788,1.795,2.098,2.411,1.991,Ellipsis
M28,baseline occhi chiusi,12:48:08,8.084,15.183,2.622,6.773,3.032,25.275,1.613,1.96,2.177,1.99,Ellipsis
M28,baseline occhi chiusi,12:48:08,9.762,15.496,2.504,6.066,2.943,19.514,1.488,1.786,2.142,2.092,Ellipsis
M28,baseline occhi chiusi,12:48:08,11.004,14.385,2.881,5.265,2.928,13.844,1.481,1.669,2.176,2.302,Ellipsis
M28,baseline occhi chiusi,12:48:08,11.489,12.176,3.925,4.471,3.01,8.494,1.623,1.668,2.197,2.609,Ellipsis
M28,baseline occhi chiusi,12:48:09,11.054,9.513,5.56,3.796,3.181,4.918,1.904,1.79,2.246,2.999,Ellipsis
M28,baseline occhi chiusi,12:48:09,9.912,7.038,7.434,3.327,3.417,3.734,2.305,2.002,2.453,3.466,Ellipsis
M28,baseline occhi chiusi,12:48:09,8.314,5.094,9.062,3.103,3.694,4.234,2.763,2.255,2.925,4.009,Ellipsis
M28,baseline occhi chiusi,12:48:09,6.654,3.743,10.014,3.124,3.989,5.722,3.213,2.503,3.637,4.612,Ellipsis
M28,baseline occhi chiusi,12:48:09,5.238,2.886,10.058,3.396,4.254,7.043,3.522,2.678,4.42,5.201,Ellipsis
M28,baseline occhi chiusi,12:48:09,4.187,2.46,9.263,3.913,4.411,7.883,3.597,2.72,5.033,5.641,Ellipsis
M28,baseline occhi chiusi,12:48:09,3.524,2.441,7.955,4.583,4.382,7.936,3.39,2.627,5.283,5.785,Ellipsis
M28,baseline occhi chiusi,12:48:09,3.187,2.741,6.593,5.252,4.13,7.276,2.973,2.449,5.118,5.551,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.08,3.125,5.517,5.758,3.69,6.055,2.498,2.241,4.639,4.986,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.173,3.313,4.83,5.979,3.177,4.515,2.113,2.062,4.021,4.268,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.422,3.232,4.458,5.862,2.755,3.231,1.907,1.972,3.421,3.648,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.703,2.986,4.289,5.424,2.557,2.324,1.894,2.015,2.891,3.329,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.767,2.848,4.237,4.768,2.62,2.031,1.996,2.219,2.422,3.366,Ellipsis
M28,baseline occhi chiusi,12:48:10,3.478,3.116,4.238,4.078,2.876,2.088,2.197,2.554,2.007,3.647,Ellipsis
M28,baseline occhi chiusi,12:48:10,2.859,4.006,4.258,3.527,3.192,2.527,2.558,2.938,1.674,3.972,Ellipsis
M28,baseline occhi chiusi,12:48:10,2.185,5.532,4.277,3.217,3.424,3.506,3.228,3.295,1.466,4.153,Ellipsis
M28,baseline occhi chiusi,12:48:11,1.665,7.391,4.316,3.156,3.48,4.563,4.307,3.546,1.384,4.087,Ellipsis
M28,baseline occhi chiusi,12:48:11,1.425,9.055,4.51,3.277,3.35,6.367,5.664,3.627,1.383,3.78,Ellipsis
M28,baseline occhi chiusi,12:48:11,1.482,9.987,5.0,3.477,3.091,7.671,6.928,3.53,1.41,3.315,Ellipsis
M28,baseline occhi chiusi,12:48:11,1.775,9.877,5.804,3.654,2.792,8.6,7.675,3.326,1.426,2.814,Ellipsis
M28,baseline occhi chiusi,12:48:11,2.27,8.755,6.813,3.736,2.528,8.386,7.587,3.109,1.424,2.385,Ellipsis
M28,baseline occhi chiusi,12:48:11,2.903,6.987,7.792,3.68,2.339,7.3,6.652,2.974,1.413,2.096,Ellipsis
M28,baseline occhi chiusi,12:48:11,3.607,5.107,8.403,3.457,2.222,5.606,5.154,2.964,1.392,1.967,Ellipsis
M28,baseline occhi chiusi,12:48:11,4.397,3.589,8.369,3.11,2.153,3.909,3.533,3.049,1.389,1.963,Ellipsis
M28,baseline occhi chiusi,12:48:12,5.145,2.656,7.634,2.745,2.107,2.579,2.172,3.121,1.446,2.029,Ellipsis
M28,baseline occhi chiusi,12:48:12,5.664,2.258,6.374,2.462,2.068,1.802,1.269,3.07,1.605,2.103,Ellipsis
M28,baseline occhi chiusi,12:48:12,5.662,2.197,4.935,2.309,2.018,1.456,0.811,2.864,1.873,2.122,Ellipsis
M28,baseline occhi chiusi,12:48:12,5.165,2.262,3.752,2.297,1.942,1.404,0.66,2.569,2.207,2.049,Ellipsis
M28,baseline occhi chiusi,12:48:12,4.357,2.312,3.089,2.384,1.848,1.477,0.652,2.292,2.52,1.901,Ellipsis
M28,baseline occhi chiusi,12:48:12,3.568,2.306,2.91,2.476,1.762,1.848,0.694,2.117,2.706,1.754,Ellipsis
M28,baseline occhi chiusi,12:48:12,3.005,2.224,2.964,2.495,1.719,2.421,0.742,2.051,2.712,1.708,Ellipsis
M28,baseline occhi chiusi,12:48:12,2.744,2.05,2.995,2.431,1.745,3.032,0.806,2.039,2.57,1.833,Ellipsis
M28,baseline occhi chiusi,12:48:13,2.739,1.807,2.877,2.32,1.845,3.557,0.924,2.004,2.361,2.136,Ellipsis
M28,baseline occhi chiusi,12:48:13,2.78,1.579,2.608,2.213,2.006,3.79,1.132,1.875,2.185,2.562,Ellipsis
M28,baseline occhi chiusi,12:48:13,2.757,1.495,2.251,2.139,2.203,3.708,1.479,1.625,2.114,3.029,Ellipsis
M28,baseline occhi chiusi,12:48:13,2.815,1.634,1.894,2.112,2.409,3.344,2.044,1.283,2.21,3.497,Ellipsis
M28,baseline occhi chiusi,12:48:13,3.032,1.988,1.608,2.128,2.596,2.929,2.888,0.946,2.505,3.972,Ellipsis
M28,baseline occhi chiusi,12:48:13,3.48,2.473,1.429,2.187,2.736,2.608,3.958,0.716,2.995,4.459,Ellipsis
M28,baseline occhi chiusi,12:48:13,4.026,2.982,1.376,2.305,2.818,2.537,5.047,0.62,3.624,4.93,Ellipsis
M28,baseline occhi chiusi,12:48:13,4.442,3.463,1.463,2.469,2.851,2.613,5.861,0.62,4.252,5.319,Ellipsis
M28,baseline occhi chiusi,12:48:14,4.458,3.926,1.665,2.63,2.855,2.772,6.156,0.651,4.688,5.534,Ellipsis
M28,baseline occhi chiusi,12:48:14,4.04,4.415,1.916,2.719,2.836,2.847,5.841,0.663,4.754,5.486,Ellipsis
M28,baseline occhi chiusi,12:48:14,3.261,4.936,2.113,2.688,2.784,2.835,5.019,0.66,4.394,5.142,Ellipsis
M28,baseline occhi chiusi,12:48:14,2.41,5.506,2.218,2.528,2.685,2.675,3.937,0.685,3.708,4.56,Ellipsis
M28,baseline occhi chiusi,12:48:14,1.715,6.127,2.297,2.277,2.529,2.42,2.868,0.752,2.901,3.862,Ellipsis
M28,baseline occhi chiusi,12:48:14,1.344,6.765,2.466,1.993,2.316,2.126,2.002,0.878,2.174,3.175,Ellipsis
M28,baseline occhi chiusi,12:48:14,1.289,7.347,2.868,1.743,2.063,1.916,1.413,1.063,1.638,2.588,Ellipsis
M28,baseline occhi chiusi,12:48:14,1.398,7.731,3.55,1.584,1.804,1.822,1.082,1.317,1.3,2.139,Ellipsis
M28,baseline occhi chiusi,12:48:15,1.581,7.765,4.419,1.562,1.574,1.816,0.971,1.662,1.115,1.817,Ellipsis
M28,baseline occhi chiusi,12:48:15,1.784,7.356,5.261,1.71,1.4,1.842,1.049,2.061,1.022,1.598,Ellipsis
M28,baseline occhi chiusi,12:48:15,1.952,6.528,5.878,2.032,1.288,1.845,1.276,2.431,1.015,1.464,Ellipsis
M28,baseline occhi chiusi,12:48:15,2.089,5.478,6.156,2.468,1.225,1.85,1.632,2.696,1.115,1.384,Ellipsis
M28,baseline occhi chiusi,12:48:15,2.205,4.535,6.068,2.9,1.189,1.853,2.09,2.812,1.31,1.317,Ellipsis
M28,baseline occhi chiusi,12:48:15,2.285,3.931,5.661,3.19,1.169,1.889,2.595,2.784,1.556,1.253,Ellipsis
M28,baseline occhi chiusi,12:48:15,2.339,3.701,4.986,3.245,1.176,2.005,3.075,2.656,1.798,1.231,Ellipsis
M28,baseline occhi chiusi,12:48:15,2.414,3.702,4.124,3.053,1.231,2.272,3.441,2.471,1.991,1.304,Ellipsis
M28,baseline occhi chiusi,12:48:16,2.532,3.698,3.216,2.687,1.352,2.642,3.594,2.264,2.119,1.506,Ellipsis
M28,baseline occhi chiusi,12:48:16,2.747,3.538,2.486,2.278,1.536,3.066,3.469,2.038,2.186,1.821,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.028,3.244,2.225,1.959,1.742,3.404,3.078,1.818,2.206,2.173,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.32,2.913,2.587,1.8,1.911,3.587,2.527,1.648,2.194,2.458,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.563,2.636,3.478,1.828,1.99,3.572,1.978,1.581,2.179,2.586,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.734,2.448,4.541,2.032,1.954,3.353,1.559,1.644,2.192,2.521,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.756,2.312,5.334,2.355,1.814,3.027,1.307,1.819,2.257,2.295,Ellipsis
M28,baseline occhi chiusi,12:48:16,3.644,2.186,5.536,2.702,1.622,2.726,1.196,2.018,2.354,1.994,Ellipsis
M28,baseline occhi chiusi,12:48:17,3.356,2.107,5.067,2.984,1.449,2.483,1.15,2.132,2.429,1.727,Ellipsis
M28,baseline occhi chiusi,12:48:17,3.039,2.178,4.121,3.156,1.356,2.407,1.115,2.1,2.423,1.572,Ellipsis
M28,baseline occhi chiusi,12:48:17,2.83,2.477,3.014,3.203,1.364,2.311,1.084,1.926,2.284,1.553,Ellipsis
M28,baseline occhi chiusi,12:48:17,2.818,2.993,2.062,3.139,1.449,2.27,1.067,1.682,2.007,1.644,Ellipsis
M28,baseline occhi chiusi,12:48:17,2.993,3.592,1.456,2.994,1.573,2.115,1.079,1.463,1.656,1.808,Ellipsis
M28,baseline occhi chiusi,12:48:17,3.143,4.06,1.196,2.8,1.7,2.004,1.115,1.323,1.335,2.01,Ellipsis
M28,baseline occhi chiusi,12:48:17,3.124,4.259,1.151,2.603,1.796,1.815,1.157,1.245,1.125,2.207,Ellipsis
M28,baseline occhi chiusi,12:48:17,2.875,4.271,1.222,2.467,1.854,1.648,1.196,1.165,1.054,2.365,Ellipsis
M28,baseline occhi chiusi,12:48:18,2.469,4.348,1.42,2.462,1.888,1.419,1.233,1.09,1.096,2.474,Ellipsis
M28,baseline occhi chiusi,12:48:18,2.014,4.756,1.789,2.647,1.934,1.214,1.281,1.113,1.202,2.55,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.601,5.586,2.322,3.056,2.019,1.004,1.376,1.346,1.336,2.621,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.321,6.724,2.921,3.652,2.147,0.855,1.604,1.815,1.497,2.704,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.178,7.863,3.42,4.294,2.287,0.782,2.04,2.407,1.689,2.793,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.137,8.636,3.68,4.778,2.386,0.804,2.687,2.92,1.908,2.865,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.122,8.819,3.674,4.934,2.398,0.918,3.432,3.161,2.132,2.896,Ellipsis
M28,baseline occhi chiusi,12:48:18,1.074,8.46,3.46,4.691,2.307,1.07,4.069,3.054,2.324,2.872,Ellipsis
M28,baseline occhi chiusi,12:48:19,1.099,7.745,3.152,4.107,2.133,1.197,4.402,2.693,2.458,2.792,Ellipsis
M28,baseline occhi chiusi,12:48:19,1.264,6.857,2.848,3.351,1.926,1.254,4.339,2.276,2.525,2.675,Ellipsis
M28,baseline occhi chiusi,12:48:19,1.649,5.926,2.581,2.637,1.744,1.207,3.957,1.995,2.546,2.55,Ellipsis
M28,baseline occhi chiusi,12:48:19,2.151,5.004,2.317,2.138,1.629,1.126,3.447,1.918,2.565,2.438,Ellipsis
M28,baseline occhi chiusi,12:48:19,2.614,4.155,2.009,1.929,1.582,1.08,3.012,1.982,2.615,2.335,Ellipsis
M28,baseline occhi chiusi,12:48:19,2.957,3.526,1.634,2.023,1.573,1.174,2.775,2.049,2.725,2.227,Ellipsis
M28,baseline occhi chiusi,12:48:19,3.116,3.454,1.294,2.404,1.57,1.409,2.73,2.009,2.929,2.101,Ellipsis
M28,baseline occhi chiusi,12:48:19,3.217,4.308,1.116,3.034,1.562,1.803,2.79,1.846,3.245,1.965,Ellipsis
M28,baseline occhi chiusi,12:48:20,3.218,6.224,1.193,3.802,1.559,2.197,2.829,1.603,3.646,1.855,Ellipsis
M28,baseline occhi chiusi,12:48:20,3.248,8.91,1.49,4.508,1.58,2.511,2.789,1.344,4.039,1.808,Ellipsis
M28,baseline occhi chiusi,12:48:20,3.193,11.675,1.864,4.926,1.634,2.619,2.672,1.132,4.283,1.84,Ellipsis
M28,baseline occhi chiusi,12:48:20,3.085,13.729,2.155,4.909,1.707,2.487,2.528,1.02,4.255,1.932,Ellipsis
M28,baseline occhi chiusi,12:48:20,2.881,14.519,2.276,4.489,1.763,2.164,2.421,1.018,3.91,2.024,Ellipsis
M28,baseline occhi chiusi,12:48:20,2.661,13.981,2.237,3.887,1.763,1.763,2.401,1.119,3.317,2.051,Ellipsis
M28,baseline occhi chiusi,12:48:20,2.491,12.598,2.212,3.398,1.686,1.459,2.492,1.314,2.635,1.97,Ellipsis
M28,baseline occhi chiusi,12:48:20,2.46,11.121,2.442,3.254,1.545,1.372,2.7,1.582,2.049,1.788,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.612,10.138,3.085,3.511,1.383,1.543,2.993,1.882,1.69,1.562,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.792,9.827,4.058,3.999,1.241,1.902,3.283,2.144,1.59,1.364,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.938,9.976,5.08,4.431,1.149,2.292,3.481,2.324,1.673,1.243,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.962,10.136,5.737,4.573,1.114,2.56,3.541,2.394,1.812,1.216,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.902,9.923,5.727,4.357,1.116,2.614,3.451,2.346,1.896,1.258,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.722,9.34,5.077,3.869,1.131,2.516,3.237,2.206,1.873,1.336,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.48,8.583,3.993,3.274,1.146,2.417,2.94,2.001,1.741,1.441,Ellipsis
M28,baseline occhi chiusi,12:48:21,2.226,7.847,2.808,2.734,1.168,2.407,2.615,1.766,1.532,1.587,Ellipsis
M28,baseline occhi chiusi,12:48:22,1.984,7.193,1.847,2.343,1.206,2.611,2.329,1.546,1.298,1.781,Ellipsis
M28,baseline occhi chiusi,12:48:22,1.766,6.545,1.29,2.11,1.26,2.932,2.144,1.36,1.098,2.004,Ellipsis
M28,baseline occhi chiusi,12:48:22,1.575,5.825,1.121,1.98,1.32,3.307,2.159,1.193,0.977,2.209,Ellipsis
M28,baseline occhi chiusi,12:48:22,1.45,5.057,1.177,1.901,1.368,3.569,2.501,1.04,0.947,2.337,Ellipsis
